Transaction_ID,Transaction_Date,Product_ID,Product_Name,Category,Sub_Category,Product_Type,Region,Quantity_Sold,Unit_Price,Discount,Cost_per_Unit,Total_Sales,Profit,Inventory_Stock,Inventory_Days,Seasonality_Tag,Store_ID
T00001,2025-03-28,P3628,Image Outdoor,Sports,Outdoor,Premium,South,10,79.35,5.57,44.97,737.8,288.1,94,58,Spring,S882
T00002,2025-02-23,P7794,Voice Smartphones,Electronics,Smartphones,Premium,East,1,180.09,31.34,118.2,148.75,30.55,39,85,Summer,S545
T00003,2024-10-15,P1230,Amount Laptops,Electronics,Laptops,Budget,East,5,425.27,42.45,303.29,1914.1,397.65,80,177,Summer,S419
T00004,2024-08-13,P6757,Much Decor,Home,Decor,Premium,West,8,329.47,31.35,252.4,2384.96,365.76,82,118,Summer,S331
T00005,2024-11-09,P6792,Interview Women,Clothing,Women,Budget,North,7,211.83,14.46,132.33,1381.59,455.28,90,15,Winter,S425
T00006,2025-04-26,P2418,Step Smartphones,Electronics,Smartphones,Premium,West,9,344.23,28.21,190.99,2844.18,1125.27,14,157,Summer,S835
T00007,2025-03-23,P8804,Floor Smartphones,Electronics,Smartphones,Premium,South,9,15.61,2.89,8.15,114.48,41.13,60,48,Spring,S385
T00008,2024-11-06,P9455,Help Smartphones,Electronics,Smartphones,Budget,East,6,68.78,11.24,45.19,345.24,74.1,24,54,Spring,S724
T00009,2024-12-17,P9320,Wait Outdoor,Sports,Outdoor,Budget,North,1,384.37,12.89,258.48,371.48,113.0,5,163,Spring,S542
T00010,2025-04-22,P8646,Discover Laptops,Electronics,Laptops,Premium,West,7,458.07,35.2,326.39,2960.09,675.36,11,14,Autumn,S313
T00011,2024-11-17,P1196,Chair Kids,Clothing,Kids,Premium,South,1,248.14,36.89,165.67,211.25,45.58,73,3,Summer,S316
T00012,2024-08-22,P3714,Challenge Team Sports,Sports,Team Sports,Standard,South,7,445.26,0.02,250.5,3116.68,1363.18,63,101,Winter,S896
T00013,2025-02-22,P4141,Beyond Fitness,Sports,Fitness,Standard,West,7,180.83,25.75,102.8,1085.56,365.96,45,95,Autumn,S959
T00014,2024-12-31,P7456,Successful Laptops,Electronics,Laptops,Budget,East,3,159.75,18.26,88.93,424.47,157.68,43,109,Autumn,S882
T00015,2024-08-10,P7284,Where Kids,Clothing,Kids,Premium,North,7,441.43,20.48,343.21,2946.65,544.18,62,136,Summer,S645
T00016,2024-11-27,P2439,Season Laptops,Electronics,Laptops,Premium,East,10,88.49,3.22,63.96,852.7,213.1,30,52,Spring,S157
T00017,2025-03-15,P8549,Play Outdoor,Sports,Outdoor,Standard,East,6,65.47,0.13,48.07,392.04,103.62,38,147,Summer,S754
T00018,2025-04-20,P2268,Choice Kids,Clothing,Kids,Standard,West,2,279.24,37.97,184.18,482.54,114.18,91,65,Spring,S227
T00019,2024-09-02,P9098,Bit Furniture,Home,Furniture,Budget,North,3,233.51,14.67,156.4,656.52,187.32,1,120,Summer,S144
T00020,2025-02-12,P7474,Back Outdoor,Sports,Outdoor,Premium,West,6,485.62,59.43,322.66,2557.14,621.18,6,140,Spring,S503
T00021,2025-04-19,P2866,To Team Sports,Sports,Team Sports,Premium,West,2,269.19,13.39,153.05,511.6,205.5,29,59,Summer,S280
T00022,2025-01-25,P9971,Give Appliances,Home,Appliances,Budget,East,9,327.01,37.67,177.08,2604.06,1010.34,23,38,Summer,S829
T00023,2024-11-04,P8968,Opportunity Smartphones,Electronics,Smartphones,Budget,East,2,185.78,5.15,102.06,361.26,157.14,28,151,Autumn,S731
T00024,2024-06-13,P1162,Health Fitness,Sports,Fitness,Standard,West,3,247.64,41.85,129.51,617.37,228.84,90,27,Winter,S285
T00025,2024-10-20,P3201,Four Accessories,Electronics,Accessories,Standard,South,3,113.78,18.46,89.11,285.96,18.63,100,75,Autumn,S763
T00026,2024-12-28,P4347,Push Team Sports,Sports,Team Sports,Budget,North,5,256.52,16.19,189.11,1201.65,256.1,7,89,Winter,S432
T00027,2025-04-24,P4337,Democratic Decor,Home,Decor,Budget,North,1,221.67,17.26,145.15,204.41,59.26,18,12,Autumn,S892
T00028,2024-12-05,P1797,Me Fitness,Sports,Fitness,Premium,East,8,466.3,38.47,240.29,3422.64,1500.32,79,88,Autumn,S398
T00029,2024-10-23,P3733,Tree Smartphones,Electronics,Smartphones,Standard,West,2,457.45,61.21,360.19,792.48,72.1,50,13,Autumn,S277
T00030,2024-11-23,P6409,Ever Decor,Home,Decor,Budget,East,2,82.04,0.07,56.54,163.94,50.86,22,165,Summer,S360
T00031,2024-05-29,P3621,Support Men,Clothing,Men,Premium,South,7,294.08,34.42,232.48,1817.62,190.26,57,62,Winter,S718
T00032,2025-04-26,P2928,Official Fitness,Sports,Fitness,Premium,East,9,266.47,19.0,148.06,2227.23,894.69,6,5,Autumn,S454
T00033,2025-04-25,P9258,Address Fitness,Sports,Fitness,Budget,East,8,44.15,7.28,23.07,294.96,110.4,25,61,Summer,S597
T00034,2024-06-10,P7696,Serve Furniture,Home,Furniture,Budget,East,10,206.0,38.23,140.3,1677.7,274.7,76,147,Winter,S772
T00035,2025-03-27,P7465,Inside Accessories,Electronics,Accessories,Standard,South,3,69.31,8.34,40.21,182.91,62.28,76,41,Spring,S300
T00036,2025-02-04,P6455,Thank Laptops,Electronics,Laptops,Standard,South,5,369.04,53.3,213.11,1578.7,513.15,14,32,Winter,S746
T00037,2025-03-05,P2173,Relate Smartphones,Electronics,Smartphones,Premium,East,3,331.92,35.59,256.83,888.99,118.5,77,111,Winter,S814
T00038,2025-01-02,P7792,Ability Smartphones,Electronics,Smartphones,Budget,East,8,339.19,37.15,223.57,2416.32,627.76,100,123,Winter,S125
T00039,2024-12-28,P5809,Minute Men,Clothing,Men,Budget,West,1,32.03,3.93,21.01,28.1,7.09,92,54,Summer,S553
T00040,2025-03-22,P6684,Trip Kids,Clothing,Kids,Standard,South,9,182.99,19.84,104.2,1468.35,530.55,84,6,Winter,S206
T00041,2024-09-11,P2752,Either Kids,Clothing,Kids,Premium,West,3,119.89,12.69,70.98,321.6,108.66,5,109,Winter,S756
T00042,2025-02-12,P8110,Gas Accessories,Electronics,Accessories,Standard,West,1,50.29,6.56,26.43,43.73,17.3,22,3,Summer,S731
T00043,2025-02-02,P2548,Truth Kids,Clothing,Kids,Budget,West,2,59.93,3.44,47.62,112.98,17.74,50,103,Summer,S967
T00044,2024-05-29,P3898,Cut Kids,Clothing,Kids,Budget,North,2,53.06,0.07,33.34,105.98,39.3,90,124,Autumn,S526
T00045,2025-04-26,P3712,Out Men,Clothing,Men,Budget,North,1,299.27,44.52,160.02,254.75,94.73,99,118,Winter,S546
T00046,2024-07-30,P6579,Edge Appliances,Home,Appliances,Standard,West,2,85.85,15.48,60.14,140.74,20.46,75,178,Spring,S359
T00047,2025-03-12,P7738,Change Women,Clothing,Women,Budget,North,6,474.08,89.74,257.32,2306.04,762.12,4,118,Autumn,S470
T00048,2025-03-12,P6378,Of Laptops,Electronics,Laptops,Budget,South,6,251.73,11.3,151.67,1442.58,532.56,5,118,Autumn,S351
T00049,2024-10-25,P1629,Benefit Accessories,Electronics,Accessories,Standard,East,2,222.88,6.14,113.53,433.48,206.42,50,12,Autumn,S291
T00050,2024-06-05,P2521,Front Furniture,Home,Furniture,Budget,West,6,402.18,44.31,262.96,2147.22,569.46,13,12,Winter,S759
T00051,2025-04-09,P3195,Movie Accessories,Electronics,Accessories,Premium,South,1,50.03,6.6,33.48,43.43,9.95,27,120,Winter,S872
T00052,2025-05-02,P3144,Might Smartphones,Electronics,Smartphones,Standard,North,10,391.76,21.99,229.6,3697.7,1401.7,5,94,Summer,S177
T00053,2024-06-16,P1848,Fish Furniture,Home,Furniture,Premium,North,2,124.66,11.33,76.14,226.66,74.38,26,111,Summer,S836
T00054,2024-12-05,P6416,Film Smartphones,Electronics,Smartphones,Standard,North,1,480.41,42.83,335.94,437.58,101.64,66,147,Autumn,S977
T00055,2025-02-03,P7225,Capital Accessories,Electronics,Accessories,Premium,West,10,338.0,60.93,177.52,2770.7,995.5,1,102,Winter,S674
T00056,2024-12-03,P2656,Go Appliances,Home,Appliances,Standard,East,6,350.62,23.18,202.93,1964.64,747.06,89,175,Winter,S365
T00057,2025-03-17,P9163,Win Laptops,Electronics,Laptops,Premium,West,6,108.54,4.12,57.38,626.52,282.24,49,123,Autumn,S904
T00058,2024-11-30,P4402,Democrat Kids,Clothing,Kids,Premium,West,7,236.53,31.25,160.95,1436.96,310.31,54,178,Winter,S267
T00059,2025-03-11,P5128,Player Outdoor,Sports,Outdoor,Budget,North,3,332.67,56.47,245.5,828.6,92.1,54,148,Winter,S610
T00060,2024-12-03,P3355,People Laptops,Electronics,Laptops,Budget,North,7,364.39,8.31,226.45,2492.56,907.41,60,130,Autumn,S522
T00061,2024-08-24,P3628,Light Laptops,Electronics,Laptops,Standard,East,4,234.41,7.47,174.98,907.76,207.84,10,174,Summer,S558
T00062,2024-06-09,P5416,Pick Outdoor,Sports,Outdoor,Budget,West,4,206.11,33.37,111.84,690.96,243.6,53,158,Spring,S435
T00063,2025-03-10,P9182,Image Appliances,Home,Appliances,Budget,South,10,189.96,22.57,128.04,1673.9,393.5,63,39,Summer,S610
T00064,2024-09-05,P7547,Parent Kids,Clothing,Kids,Premium,East,1,484.24,68.03,284.63,416.21,131.58,15,129,Summer,S674
T00065,2024-08-07,P2099,Fill Furniture,Home,Furniture,Premium,East,5,147.62,16.45,92.99,655.85,190.9,16,73,Winter,S737
T00066,2024-07-15,P6657,Current Outdoor,Sports,Outdoor,Premium,North,7,405.91,18.39,221.03,2712.64,1165.43,77,154,Summer,S974
T00067,2025-03-20,P2385,Culture Women,Clothing,Women,Budget,South,1,160.66,25.46,107.15,135.2,28.05,62,107,Summer,S880
T00068,2024-05-17,P6121,Position Fitness,Sports,Fitness,Standard,East,1,172.67,28.4,108.85,144.27,35.42,43,10,Summer,S843
T00069,2025-01-15,P9408,Ever Smartphones,Electronics,Smartphones,Premium,South,2,123.29,17.91,79.27,210.76,52.22,36,38,Summer,S716
T00070,2024-11-06,P7409,Authority Decor,Home,Decor,Budget,West,8,243.16,28.34,134.02,1718.56,646.4,22,172,Autumn,S472
T00071,2024-06-08,P5330,Respond Appliances,Home,Appliances,Standard,South,1,88.56,7.26,49.26,81.3,32.04,86,102,Winter,S744
T00072,2025-02-23,P3516,Case Women,Clothing,Women,Budget,West,10,241.23,33.5,144.94,2077.3,627.9,3,87,Winter,S918
T00073,2025-04-10,P6582,Citizen Outdoor,Sports,Outdoor,Standard,West,2,73.0,4.55,42.3,136.9,52.3,3,70,Spring,S699
T00074,2025-04-28,P3311,American Decor,Home,Decor,Budget,West,5,450.0,73.04,334.98,1884.8,209.9,9,65,Winter,S480
T00075,2025-03-28,P8741,Be Kids,Clothing,Kids,Standard,East,3,145.16,11.58,110.34,400.74,69.72,40,80,Winter,S630
T00076,2025-04-18,P3923,Scene Laptops,Electronics,Laptops,Premium,North,5,279.53,42.65,216.47,1184.4,102.05,91,24,Autumn,S603
T00077,2025-04-28,P2209,Themselves Men,Clothing,Men,Premium,East,9,417.92,13.4,315.03,3640.68,805.41,34,140,Spring,S387
T00078,2024-11-30,P5256,Result Kids,Clothing,Kids,Budget,West,4,57.19,10.93,45.01,185.04,5.0,82,24,Summer,S824
T00079,2024-10-03,P1162,Third Kids,Clothing,Kids,Standard,South,6,181.46,24.89,112.74,939.42,262.98,89,76,Autumn,S316
T00080,2025-02-02,P1349,Network Accessories,Electronics,Accessories,Budget,East,10,477.05,71.12,261.6,4059.3,1443.3,30,39,Spring,S981
T00081,2024-08-20,P9367,Nearly Smartphones,Electronics,Smartphones,Premium,West,4,154.97,28.43,112.31,506.16,56.92,14,1,Winter,S863
T00082,2025-03-16,P7641,Eat Women,Clothing,Women,Premium,West,2,298.63,22.92,199.31,551.42,152.8,66,122,Autumn,S309
T00083,2025-03-30,P4026,Dinner Furniture,Home,Furniture,Budget,East,8,104.2,19.43,64.31,678.16,163.68,74,117,Summer,S953
T00084,2025-04-17,P3578,Respond Accessories,Electronics,Accessories,Budget,South,6,263.84,1.42,147.55,1574.52,689.22,1,81,Spring,S498
T00085,2024-12-20,P7955,That Accessories,Electronics,Accessories,Premium,West,2,369.67,64.03,229.19,611.28,152.9,21,168,Autumn,S807
T00086,2024-10-14,P5785,Particularly Team Sports,Sports,Team Sports,Budget,East,9,377.59,63.87,280.51,2823.48,298.89,39,14,Winter,S909
T00087,2024-08-19,P2635,Little Men,Clothing,Men,Budget,West,10,31.13,0.95,21.79,301.8,83.9,62,6,Spring,S182
T00088,2024-11-12,P5687,Recent Appliances,Home,Appliances,Standard,East,5,393.23,72.25,201.63,1604.9,596.75,17,52,Summer,S762
T00089,2025-01-09,P1383,School Men,Clothing,Men,Budget,West,1,267.91,13.91,190.8,254.0,63.2,64,134,Autumn,S153
T00090,2025-04-26,P9359,Student Accessories,Electronics,Accessories,Standard,East,3,453.64,74.82,340.57,1136.46,114.75,15,22,Spring,S667
T00091,2024-09-20,P3950,Beautiful Laptops,Electronics,Laptops,Budget,South,8,338.77,37.46,211.26,2410.48,720.4,8,134,Spring,S465
T00092,2024-09-07,P5984,Position Furniture,Home,Furniture,Budget,West,5,152.88,13.75,97.06,695.65,210.35,50,155,Spring,S281
T00093,2024-06-18,P1882,Message Accessories,Electronics,Accessories,Budget,East,3,349.01,43.15,196.07,917.58,329.37,65,56,Winter,S616
T00094,2024-12-18,P1390,Professor Men,Clothing,Men,Budget,East,1,130.3,15.07,93.18,115.23,22.05,32,80,Winter,S404
T00095,2024-09-12,P4732,Through Accessories,Electronics,Accessories,Standard,North,8,161.86,3.54,88.97,1266.56,554.8,99,96,Spring,S781
T00096,2024-07-17,P4300,Eight Men,Clothing,Men,Budget,West,6,38.07,6.65,26.31,188.52,30.66,94,170,Autumn,S530
T00097,2024-05-11,P9417,Sign Accessories,Electronics,Accessories,Budget,North,5,269.13,29.78,177.57,1196.75,308.9,44,159,Spring,S347
T00098,2024-08-18,P6513,But Women,Clothing,Women,Standard,South,6,42.08,7.51,30.44,207.42,24.78,26,65,Winter,S196
T00099,2025-02-02,P6390,Discussion Accessories,Electronics,Accessories,Budget,West,4,248.67,1.87,156.39,987.2,361.64,19,104,Summer,S273
T00100,2024-09-26,P7170,Study Furniture,Home,Furniture,Budget,North,7,102.7,19.69,70.81,581.07,85.4,65,21,Winter,S534
T00101,2024-07-10,P9424,Go Decor,Home,Decor,Standard,West,4,113.94,16.75,63.95,388.76,132.96,94,114,Autumn,S330
T00102,2024-10-17,P6847,Team Smartphones,Electronics,Smartphones,Premium,West,6,404.6,22.35,209.29,2293.5,1037.76,18,160,Spring,S840
T00103,2024-05-29,P4835,Blood Fitness,Sports,Fitness,Budget,East,3,362.0,37.87,248.01,972.39,228.36,11,46,Spring,S300
T00104,2025-03-05,P8413,Child Team Sports,Sports,Team Sports,Standard,North,5,310.64,8.4,236.39,1511.2,329.25,41,142,Winter,S108
T00105,2025-04-02,P7217,Save Women,Clothing,Women,Standard,North,10,330.4,42.78,233.99,2876.2,536.3,26,64,Spring,S384
T00106,2024-07-28,P5352,Answer Laptops,Electronics,Laptops,Premium,South,4,424.41,80.79,270.99,1374.48,290.52,28,122,Spring,S115
T00107,2025-03-18,P1633,Painting Team Sports,Sports,Team Sports,Premium,West,1,372.12,32.62,289.03,339.5,50.47,43,84,Winter,S348
T00108,2025-01-06,P1251,Where Kids,Clothing,Kids,Budget,East,8,65.37,9.11,45.35,450.08,87.28,13,23,Autumn,S180
T00109,2025-05-03,P4903,Nor Decor,Home,Decor,Premium,North,4,270.17,4.68,198.44,1061.96,268.2,0,100,Spring,S940
T00110,2024-12-24,P5504,Response Outdoor,Sports,Outdoor,Premium,North,7,278.64,23.84,197.26,1783.6,402.78,73,128,Autumn,S883
T00111,2024-06-02,P5530,Agreement Decor,Home,Decor,Premium,East,8,76.23,1.51,51.87,597.76,182.8,0,94,Spring,S446
T00112,2024-06-22,P9742,Prove Smartphones,Electronics,Smartphones,Standard,East,10,196.15,23.38,114.89,1727.7,578.8,29,154,Summer,S917
T00113,2024-07-17,P7957,Police Furniture,Home,Furniture,Premium,East,5,162.66,2.09,86.42,802.85,370.75,70,137,Winter,S195
T00114,2025-03-23,P5851,Parent Appliances,Home,Appliances,Budget,South,7,289.17,49.29,166.07,1679.16,516.67,46,90,Summer,S206
T00115,2024-06-20,P3607,Include Team Sports,Sports,Team Sports,Budget,South,1,404.08,38.73,272.14,365.35,93.21,21,76,Spring,S479
T00116,2024-06-09,P5359,Hospital Decor,Home,Decor,Budget,North,8,353.91,55.2,246.44,2389.68,418.16,91,9,Spring,S213
T00117,2025-03-24,P1462,Business Furniture,Home,Furniture,Premium,North,3,404.0,66.22,317.36,1013.34,61.26,90,179,Spring,S173
T00118,2024-05-19,P1391,Police Women,Clothing,Women,Premium,East,2,304.87,1.29,221.03,607.16,165.1,30,145,Spring,S722
T00119,2024-05-13,P8357,Day Laptops,Electronics,Laptops,Premium,West,7,63.29,5.42,40.43,405.09,122.08,84,78,Summer,S780
T00120,2024-07-15,P1340,Serious Furniture,Home,Furniture,Budget,East,10,72.31,13.12,47.35,591.9,118.4,46,15,Autumn,S761
T00121,2024-06-22,P7981,Measure Outdoor,Sports,Outdoor,Budget,North,2,439.11,3.12,318.65,871.98,234.68,17,138,Summer,S219
T00122,2024-07-25,P3206,Short Fitness,Sports,Fitness,Budget,East,1,181.0,5.98,126.11,175.02,48.91,32,129,Summer,S179
T00123,2025-03-11,P1651,Ask Accessories,Electronics,Accessories,Standard,South,3,179.35,33.74,110.62,436.83,104.97,95,71,Summer,S301
T00124,2025-05-03,P2079,Respond Outdoor,Sports,Outdoor,Budget,West,7,487.85,56.74,280.35,3017.77,1055.32,31,90,Spring,S185
T00125,2024-05-13,P8049,Off Decor,Home,Decor,Budget,North,4,441.77,39.55,282.76,1608.88,477.84,70,26,Summer,S390
T00126,2024-10-17,P7568,Pressure Appliances,Home,Appliances,Budget,South,3,373.43,1.42,272.9,1116.03,297.33,90,107,Winter,S790
T00127,2024-06-13,P6447,Thing Appliances,Home,Appliances,Budget,North,3,364.25,30.51,281.09,1001.22,157.95,38,9,Spring,S104
T00128,2024-08-13,P4491,Available Appliances,Home,Appliances,Premium,North,1,79.56,7.69,58.47,71.87,13.4,69,83,Winter,S483
T00129,2024-07-29,P6343,Away Accessories,Electronics,Accessories,Standard,East,5,373.16,62.35,218.74,1554.05,460.35,80,29,Summer,S378
T00130,2025-01-11,P8291,Fish Outdoor,Sports,Outdoor,Standard,East,1,207.17,23.23,120.17,183.94,63.77,48,179,Winter,S576
T00131,2024-09-18,P1430,Least Fitness,Sports,Fitness,Premium,North,2,181.79,28.67,108.17,306.24,89.9,25,143,Autumn,S247
T00132,2024-07-14,P1400,Ask Kids,Clothing,Kids,Standard,West,4,427.45,71.62,274.23,1423.32,326.4,46,110,Winter,S724
T00133,2024-11-16,P5997,Manage Furniture,Home,Furniture,Budget,North,4,313.79,44.88,185.69,1075.64,332.88,4,23,Summer,S490
T00134,2024-05-20,P3172,Pick Decor,Home,Decor,Standard,West,2,33.3,0.23,19.59,66.14,26.96,33,99,Winter,S703
T00135,2024-06-13,P3670,Scene Outdoor,Sports,Outdoor,Budget,South,3,241.73,30.66,175.44,633.21,106.89,87,145,Summer,S235
T00136,2024-10-03,P8583,Decision Smartphones,Electronics,Smartphones,Premium,West,5,290.36,25.95,163.04,1322.05,506.85,53,158,Winter,S366
T00137,2024-08-14,P4348,Her Decor,Home,Decor,Standard,West,8,356.18,37.42,196.62,2550.08,977.12,16,67,Autumn,S837
T00138,2025-04-21,P3041,Sign Appliances,Home,Appliances,Standard,North,3,212.74,33.69,152.16,537.15,80.67,86,124,Winter,S329
T00139,2024-11-03,P5139,This Kids,Clothing,Kids,Standard,South,10,56.15,7.7,29.11,484.5,193.4,19,42,Autumn,S486
T00140,2025-04-20,P3458,Why Accessories,Electronics,Accessories,Budget,South,9,455.54,80.75,331.04,3373.11,393.75,38,155,Summer,S451
T00141,2024-12-12,P9730,Condition Accessories,Electronics,Accessories,Standard,South,6,353.84,64.43,264.91,1736.46,147.0,55,3,Spring,S100
T00142,2025-01-30,P8939,Remember Outdoor,Sports,Outdoor,Premium,North,1,142.38,22.73,101.89,119.65,17.76,33,63,Spring,S745
T00143,2024-07-22,P9413,Speak Smartphones,Electronics,Smartphones,Standard,South,4,26.59,3.75,20.32,91.36,10.08,15,176,Winter,S290
T00144,2024-05-27,P1624,Story Team Sports,Sports,Team Sports,Standard,North,9,370.02,69.68,220.67,2703.06,717.03,66,33,Autumn,S439
T00145,2025-01-22,P9838,Cold Fitness,Sports,Fitness,Budget,North,9,191.22,23.24,137.77,1511.82,271.89,41,174,Summer,S710
T00146,2025-03-29,P2401,Color Smartphones,Electronics,Smartphones,Budget,East,8,149.93,26.29,76.31,989.12,378.64,45,2,Winter,S125
T00147,2024-09-14,P3237,Next Decor,Home,Decor,Premium,East,9,475.54,16.11,269.25,4134.87,1711.62,33,149,Summer,S747
T00148,2024-08-10,P1655,Buy Team Sports,Sports,Team Sports,Premium,East,4,203.9,3.73,105.12,800.68,380.2,61,55,Spring,S211
T00149,2024-12-22,P7226,Will Outdoor,Sports,Outdoor,Premium,East,5,40.93,5.97,26.37,174.8,42.95,34,47,Winter,S893
T00150,2024-10-23,P9247,Reduce Team Sports,Sports,Team Sports,Budget,South,7,311.42,49.74,234.13,1831.76,192.85,90,29,Summer,S206
T00151,2024-07-11,P1084,Add Fitness,Sports,Fitness,Budget,South,4,19.15,3.68,11.28,61.88,16.76,45,61,Summer,S709
T00152,2024-11-04,P2466,Responsibility Appliances,Home,Appliances,Budget,South,6,443.08,58.96,224.6,2304.72,957.12,86,81,Summer,S643
T00153,2024-10-11,P6454,We Kids,Clothing,Kids,Standard,East,4,70.7,7.28,42.71,253.68,82.84,95,31,Autumn,S375
